Name,City,STATE,Amount, EndingDate, ValidDateRange,Most snow in 1 day, 1 day DATE,Most snow in 2 days,2 days DATE,Most snow in 3 days QTY,3 days DATE,First 2 inches
ALBANY INTL AP,Albany,NY,106.7, 1956-12-31 , 1938-06-01 to 2017-06-06,22, 1993-03-13 ,26.6, 1993-03-14 ,26.8, 1993-03-14 ,10/4/1987
BUFFALO NIAGARA INTL,Buffalo,NY,175.6, 1977-12-31 , 1939-02-02 to 2017-06-06,33.9, 1995-12-10 ,48.1, 2001-12-28 ,56.1, 2001-12-28 ,10/12/2006
ROCHESTER GTR INTL,Rochester,NY,151.7, 1959-12-31 , 1926-01-02 to 2017-06-06,23, 1996-01-03 ,26.7, 1966-01-31 ,40.7, 1999-03-06 ,10/25/1930
SYRACUSE HANCOCK INTL AP,Syracuse,NY,207.9, 1993-12-31 , 1940-08-15 to 2017-06-06,22.1, 1993-03-13 ,42, 1993-03-14 ,42.9, 1993-03-15 ,10/20/1952
JFK INTL AP,JFK International Airport,NY,61.9, 2003-12-31 , 1948-07-17 to 2017-06-06,30.3, 2016-01-23 ,30.5, 2016-01-23 ,30.6, 2016-01-24 ,11/7/2012
PORT COLUMBUS INTL AP,Port Columbus,OH,49.4, 2003-12-31 , 1948-01-01 to 2017-06-06,15.5,3/8/2008,20.5, 2008-03-08 ,20.5, 2008-03-09,10/30/1993
MANSFIELD LAHM RGNL AP,Mansfield,OH,83, 2010-12-31 , 1948-08-01 to 2017-06-06,15.2, 2004-12-22 ,23, 2004-12-23 ,23, 2004-12-24,10/19/1989
AKRON CANTON AP,Akron,OH,73.6, 2010-12-31 , 1948-07-01 to 2017-06-06,19.7, 1987-04-04 ,24.3, 1974-12-02 ,24.9, 1974-12-03 ,
YOUNGSTOWN-WARREN RGNL AP,Youngstown,OH,115.4, 2010-12-31 , 1934-08-01 to 2017-06-06,17.2, 1948-01-24 ,26.5, 1950-11-25 ,27.4, 1950-11-26 ,10/19/1992
CLEVELAND-HOPKINS INTL AP,Cleveland,OH,108.4, 2005-12-31 , 1938-05-01 to 2017-06-06,13.6, 1993-02-23 ,19.3, 1950-11-25 ,23.1, 1993-02-24 ,10/19/1981
TOLEDO EXPRESS AP,Toledo,OH,77.4, 2014-12-31 , 1955-01-01 to 2017-06-06,13.9, 1974-12-01 ,13.9, 1974-12-02+,13.9, 1974-12-03,11/2/1966
DAYTON INTL AP,Dayton,OH,52.9, 1978-12-31 , 1948-01-01 to 2017-06-06,12.2, 1978-01-26 ,16.4, 2004-12-23 ,16.4, 2004-12-24,10/19/1989
OKLAHOMA CITY WILL ROGERS AP,Oklahoma City,OK,25, 1960-12-31 , 1948-01-01 to 2017-06-06,13.5, 2009-12-24 ,13.5, 2009-12-25,13.5, 2009-12-26,11/16/2014
